path	deprecated	experimental	chrome	chrome_android
css.types.color.rgba.float_values	false	false	66	66
css.types.color.rgba.space_separated_parameters	false	false	65	65
css.types.color.system-color	false	false	1	18
css.types.color.system-color.mark_marktext_buttonborder	false	true	false	false
css.types.color.transparent	false	false	1	18
css.types.cos	false	false	111	111
css.types.counter	false	false	1	18
css.types.counters	false	false	1	18
css.types.dimension	false	false	1	18
css.types.easing-function	false	false	4	18
css.types.easing-function.cubic-bezier	false	false	16	18
css.types.easing-function.linear-function	false	false	113	113
css.types.easing-function.steps	false	false	8	18
css.types.easing-function.steps.jump	false	false	77	77
css.types.exp	false	false	false	false
css.types.filter-function	false	false	18	53
css.types.filter-function.blur	false	false	18	53
css.types.filter-function.brightness	false	false	18	53
css.types.filter-function.contrast	false	false	18	53
css.types.filter-function.drop-shadow	false	false	18	53
css.types.filter-function.grayscale	false	false	18	53
css.types.filter-function.hue-rotate	false	false	18	53
css.types.filter-function.invert	false	false	18	53
css.types.filter-function.opacity	false	false	18	53
css.types.filter-function.saturate	false	false	18	53
css.types.filter-function.sepia	false	false	18	53
css.types.flex	false	false	29	29
css.types.frequency	false	false	false	false
css.types.frequency.hz	false	false	false	false
css.types.frequency.khz	false	false	false	false
css.types.frequency-percentage	false	false	false	false
css.types.global_keywords	false	false	1	18
css.types.global_keywords.inherit	false	false	1	18
css.types.global_keywords.initial	false	false	1	18
