Feature	Chrome as of 31 Dec 2022	Edge as of 31 Dec 2022	Firefox as of 31 Dec 2022	Safari as of 31 Dec 2022	Chrome as of 13 Oct 2023	Edge as of 13 Oct 2023	Firefox as of 13 Oct 2023	Safari as of 13 Oct 2023
api.RTCStatsReport.type_media-source.type	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.dataChannelsClosed	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.dataChannelsOpened	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.id	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.timestamp	true	true	false	true	true	true	true	true
api.RTCStatsReport.type_peer-connection.type	true	true	false	true	true	true	true	true
api.Response.json_static	true	true	false	false	true	true	true	true
api.SVGElement.autofocus	true	true	false	true	true	true	true	true
api.SVGStyleElement.sheet	true	true	true	false	true	true	true	true
api.Screen.orientation	true	true	true	false	true	true	true	true
api.ScreenOrientation	true	true	true	false	true	true	true	true
api.ScreenOrientation.angle	true	true	true	false	true	true	true	true
api.ScreenOrientation.change_event	true	true	true	false	true	true	true	true
api.ScreenOrientation.type	true	true	true	false	true	true	true	true
api.Selection.removeRange	true	true	true	false	true	true	true	true
api.ServiceWorkerContainer.messageerror_event	true	true	true	false	true	true	true	true
api.ShadowRoot.adoptedStyleSheets	true	true	true	false	true	true	true	true
api.ShadowRoot.fullscreenElement	true	true	true	false	true	true	true	true
api.ShadowRoot.slotAssignment	true	true	true	false	true	true	true	true
api.SharedWorker.SharedWorker.ecmascript_modules	true	true	false	true	true	true	true	true
api.StorageManager.estimate	true	true	true	false	true	true	true	true
api.StorageManager.getDirectory	true	true	false	true	true	true	true	true
api.TextMetrics.fontBoundingBoxAscent	true	true	false	true	true	true	true	true
api.TextMetrics.fontBoundingBoxDescent	true	true	false	true	true	true	true	true
api.URLSearchParams.size	false	false	false	false	true	true	true	true
api.Window.messageerror_event	true	true	true	false	true	true	true	true
api.Worker.Worker.ecmascript_modules	true	true	false	true	true	true	true	true
api.Worker.messageerror_event	true	true	true	false	true	true	true	true
api.Worklet.ecmascript_modules	true	true	false	true	true	true	true	true
api.WritableStreamDefaultController.signal	true	true	true	false	true	true	true	true
css.at-rules.container	true	true	false	true	true	true	true	true
css.at-rules.counter-style	true	true	true	false	true	true	true	true
css.at-rules.counter-style.additive-symbols	true	true	true	false	true	true	true	true
css.at-rules.counter-style.fallback	true	true	true	false	true	true	true	true
css.at-rules.counter-style.negative	true	true	true	false	true	true	true	true
css.at-rules.counter-style.pad	true	true	true	false	true	true	true	true
css.at-rules.counter-style.prefix	true	true	true	false	true	true	true	true
css.at-rules.counter-style.range	true	true	true	false	true	true	true	true
css.at-rules.counter-style.suffix	true	true	true	false	true	true	true	true
css.at-rules.counter-style.system	true	true	true	false	true	true	true	true
css.at-rules.font-face.size-adjust	true	true	true	false	true	true	true	true
css.at-rules.media.color-gamut	true	true	false	true	true	true	true	true
css.at-rules.media.or_syntax	true	true	true	false	true	true	true	true
css.at-rules.media.overflow-block	false	false	true	false	true	true	true	true
css.at-rules.media.overflow-inline	false	false	true	false	true	true	true	true
css.at-rules.media.range_syntax	true	true	true	false	true	true	true	true
css.at-rules.media.update	false	false	true	false	true	true	true	true
css.properties.-webkit-text-security	true	true	false	true	true	true	true	true
css.properties.animation-composition	false	false	false	true	true	true	true	true
css.properties.background-image.image-set	false	false	true	true	true	true	true	true
css.properties.contain-intrinsic-block-size	true	true	true	false	true	true	true	true
css.properties.contain-intrinsic-height	true	true	true	false	true	true	true	true
css.properties.contain-intrinsic-inline-size	true	true	true	false	true	true	true	true
css.properties.contain-intrinsic-size	true	true	true	false	true	true	true	true
css.properties.contain-intrinsic-size.auto_none	false	false	false	false	true	true	true	true
css.properties.contain-intrinsic-width	true	true	true	false	true	true	true	true
css.properties.container	true	true	false	true	true	true	true	true
css.properties.container-name	true	true	false	true	true	true	true	true
css.properties.container-type	true	true	false	true	true	true	true	true
css.properties.display.multi-keyword_values	false	false	true	true	true	true	true	true
css.properties.font-size.xxx-large	true	true	true	false	true	true	true	true
css.properties.font-synthesis.style	true	true	false	true	true	true	true	true
css.properties.font-synthesis.weight	true	true	false	true	true	true	true	true
css.properties.font-synthesis-small-caps	true	true	false	false	true	true	true	true
css.properties.font-synthesis-style	true	true	false	false	true	true	true	true
